,Buy-and-Hold,Continuous-Rebalance,New Rebalancing Approach
1758,1089868.574,1113069.598,1136930.876
1759,1086451.757,1109808.472,1133358.231
1760,1078685.364,1102371.917,1125237.669
1761,1080688.21,1104303.15,1127331.824
1762,1086719.848,1110108.5,1133638.483
1763,1075399.398,1099270.846,1121801.799
1764,1066587.314,1090751.788,1112587.862
1765,1061759.78,1086047.274,1107540.171
1766,1065017.113,1089235.917,1110946.017
1767,1064050.883,1088293.266,1109935.706
1768,1065251.421,1089466.334,1111190.967
1769,1058974.302,1083341.511,1104627.59
1770,1054823.503,1079269.093,1100287.493
1771,1060446.991,1084808.543,1106167.39
1772,1065243.991,1089509.958,1111183.112
1773,1067979.575,1092179.732,1114043.417
1774,1074749.278,1098769.772,1121121.797
1775,1076250.474,1100222.79,1122691.427
1776,1079267.908,1103139.307,1125846.434
1777,1074161.436,1098218.182,1120507.086
1778,1067364.686,1091638.024,1113400.383
1779,1067296.258,1091571.78,1113328.812
1780,1055010.655,1079603.551,1100482.965
1781,1054796.653,1079393.074,1100259.183
1782,1057070.109,1081633.196,1102636.287
1783,1055499.229,1080089.037,1100993.753
1784,1057907.965,1082460.998,1103512.307
1785,1062142.057,1086620.906,1107939.451
1786,1070660.909,1094959.526,1116846.742
1787,1066631.962,1091046.236,1112634.053
1788,1069779.039,1094114.407,1115924.616
1789,1075388.087,1099567.947,1121789.415
1790,1088494.497,1112247.55,1135493.456
1791,1080921.956,1105005.728,1127575.585
1792,1087744.281,1111574.766,1134708.987
1793,1096984.725,1120420.269,1144370.774
1794,1099531.171,1122838.988,1147033.316
1795,1114932.952,1137434.349,1163137.397
1796,1112036.614,1134725.272,1160108.964
1797,1122381.37,1144427.302,1170925.42
1798,1130224.102,1151721.829,1179125.759
1799,1129848.81,1151375.822,1178733.332
1800,1130061.102,1151572.901,1178955.284
1801,1128251.142,1149900.973,1177062.768
1802,1136778.088,1157794.34,1185978.521
1803,1134143.207,1155372.711,1183223.468
1804,1126427.534,1148265.897,1175155.939
1805,1120749.77,1143003.424,1169219.248
1806,1130033.618,1151651.175,1178926.418
1807,1125001.115,1146999.966,1173664.411
