"","v_bh","v_con","v_new"
"171",1458993.46177628,1435351.92099846,1458532.51357122
"172",1041360.63419878,1074410.53510593,1041360.63419878
"173",712160.906033191,662156.358638467,712160.906033191
"174",811131.912077095,808467.070693063,811131.912077095
"175",1793599.47837343,1668364.29288527,1689363.06366739
"176",959619.831195834,987388.616420484,959619.831195834
"177",944398.485794067,971003.668535301,944398.485794067
"178",880763.023557394,896892.642999212,880763.023557394
"179",857924.336483992,870121.954502626,857924.336483992
"180",947861.870480265,974028.942056739,947861.870480265
"181",714544.929572186,666007.897352744,714544.929572186
"182",1319756.81214707,1323388.09248496,1312556.63879859
"183",697526.38362054,638756.070040927,697526.38362054
"184",905526.591453864,925810.211148079,905526.591453864
"185",1051849.53787714,1084426.99533661,1091652.5461774
"186",1511550.94067689,1475663.96034386,1495730.25462888
"187",1122964.05953054,1153993.79042742,1122964.05953054
"188",1112905.82698574,1143270.80047705,1112905.82698574
"189",744504.583817197,713963.096500085,744504.583817197
"190",923266.201558372,946892.826967921,923266.201558372
"191",1097458.53477447,1128877.73408638,1128417.88053035
"192",918181.891902136,942578.185963512,918181.891902136
"193",921823.887001899,944439.603113547,921823.887001899
"194",1088561.40513986,1121905.29731684,1119902.05025462
"195",644149.609227111,539960.326423344,644149.609227111
"196",1236175.33591312,1255924.72473304,1304405.89871345
"197",864996.27509811,878833.495083983,864996.27509811
"198",1101412.19798229,1134046.75262094,1101412.19798229
"199",1521451.57760368,1480927.89943884,1480832.41803676
"200",1001641.49877237,1033562.43330392,1001641.49877237
"201",777878.450887961,762406.51865481,777878.450887961
"202",906712.258087104,926833.962566068,969547.800548985
"203",1326776.00738148,1331225.06689012,1319084.92769064
"204",972504.836372647,1001960.79749401,972504.836372647
"205",889641.163431936,907991.797098918,889641.163431936
"206",1127780.7250368,1159186.52544533,1155293.11094883
"207",767584.058106794,747985.39327443,767584.058106794
"208",972409.456922872,1002257.13625143,972409.456922872
"209",1080265.89411601,1113664.12558137,1112778.55625654
"210",798879.366123381,791743.343239143,798879.366123381
"211",1579488.05638106,1524322.15194008,1540850.32703255
"212",796918.106782299,789867.372469094,796918.106782299
"213",1188171.13688704,1214632.02121362,1204878.2887487
"214",736936.050284296,702274.057770195,736936.050284296
"215",797784.345615261,790412.741915437,797784.345615261
"216",772919.642418653,756891.155682495,772919.642418653
"217",907271.478944549,928460.409093093,907271.478944549
"218",737231.80402835,702890.560276732,737231.80402835
"219",1082919.63508187,1115223.95673601,1115668.53223193
"220",975548.224480985,1003247.63813992,975548.224480985
"221",1727517.28683103,1625457.06552675,1644940.05188961
"222",1025680.04855036,1059921.91570951,1025680.04855036
"223",1152809.80204766,1181990.96502944,1173338.27373286
"224",1105663.70161465,1135276.97901944,1105663.70161465
"225",771055.354564933,752913.246200114,771055.354564933
"226",1076729.00363259,1111635.68338104,1076729.00363259
"227",1090190.7282774,1121514.17332422,1090190.7282774
"228",1436293.60797105,1419873.35047788,1409456.78262011
"229",1096737.26761286,1129334.40541083,1127889.31272509
"230",1113543.19822915,1144543.51651247,1141180.13478427
"231",1745416.31345649,1635337.99488688,1657374.76109242
"232",838532.358786641,843645.262945308,838532.358786641
"233",1443409.86571992,1423672.9374898,1447283.17674083
"234",982611.184993739,1013282.91061329,982611.184993739
"235",882878.909836278,900126.769838236,882878.909836278
"236",817090.971615428,816800.152708269,817090.971615428
"237",1290396.2936393,1301872.88596991,1288664.10443265
"238",851380.803878886,859945.261701035,851380.803878886
"239",1008538.62511324,1040971.48909467,1008538.62511324
"240",1134274.52039132,1164742.5670468,1134274.52039132
"241",987819.539681502,1017322.30304316,987819.539681502
"242",984813.454462765,1016673.85846614,984813.454462765
"243",956022.801426083,983746.740237051,956022.801426083
"244",1073158.27307447,1104813.90748057,1073158.27307447
"245",783545.226917008,770225.89862362,783545.226917008
"246",761687.550863363,739947.920384038,761687.550863363
"247",710997.792038691,661546.77774264,710997.792038691
"248",784703.533039464,772669.012968421,784703.533039464
"249",1018440.39286911,1051279.88959705,1018440.39286911
"250",1139435.38103938,1168714.95389763,1163324.17064152
"251",1203685.92080321,1226624.71235919,1203685.92080321
"252",812003.074275918,809464.952393661,812003.074275918
"253",1101968.53054663,1133913.31311951,1101968.53054663
"254",768143.845328649,748267.344497905,768143.845328649
"255",691978.080975648,629016.668634771,691978.080975648
"256",895895.953848904,915119.751405632,895895.953848904
"257",823521.697072614,825852.409149153,823521.697072614
"258",888565.944039373,906727.209514899,888565.944039373
"259",912796.988981477,936476.607640745,912796.988981477
"260",734737.86564015,699658.243766065,734737.86564015
"261",1438667.09765186,1420392.70427629,1411621.5206073
"262",898475.829557022,917127.482583164,961935.323093282
"263",878992.185501842,894827.096456214,878992.185501842
"264",1009970.18082122,1041120.19172392,1056953.0876586
"265",1067918.46562989,1099681.40124181,1067918.46562989
"266",1143427.08406051,1171624.98314578,1166101.52085152
"267",1565111.76519263,1512843.7387442,1516999.98673853
"268",944741.338401196,970578.195497316,1000295.52940918
"269",939833.744681675,965660.097568634,939833.744681675
"270",1619031.71432282,1551172.84422254,1561672.34779007
"271",1031188.19638351,1062434.58021527,1031188.19638351
"272",1002388.80060698,1033547.34831682,1002388.80060698
"273",1279433.28767632,1295030.65090723,1278897.02889554
