"","V_bh","V_con","V_new"
"97",998843.627802568,1000068.79213401,998843.627802568
"98",1004287.00142066,1005528.4807936,1004287.00142066
"99",1000074.52173331,1001326.13883528,1000074.52173331
"100",997229.144471323,998475.634338659,997229.144471323
"101",997156.126615649,998402.237425849,997156.126615649
"102",1002087.41425082,1003357.16667024,1002087.41425082
"103",1002141.38023372,1003411.1321774,1002141.38023372
"104",1004853.23196787,1006122.45185867,1004853.23196787
"105",1011990.28363632,1013239.55152848,1011990.28363632
"106",1009762.11034909,1011033.30164105,1009762.11034909
"107",1011711.34458322,1012967.79153627,1011711.34458322
"108",1010149.30352165,1011420.51858131,1010149.30352165
"109",1009530.27261126,1010806.51293408,1009530.27261126
"110",1020216.64312722,1021413.87256219,1020216.64312722
"111",1019454.41858017,1020665.21396081,1019454.41858017
"112",1022251.85125981,1023415.79421589,1022251.85125981
"113",1017537.24900331,1018792.82111618,1017537.24900331
"114",1022779.04608808,1023956.12140341,1022779.04608808
"115",1018854.96292672,1020110.69054019,1018854.96292672
"116",1018813.05500187,1020069.60120626,1018813.05500187
"117",1018549.65142793,1019810.60445276,1018549.65142793
"118",1022069.35315672,1023274.83219583,1022069.35315672
"119",1026872.6816056,1027986.1010242,1026872.6816056
"120",1016227.57282586,1017592.41760532,1016227.57282586
"121",1010312.27577111,1011757.68843178,1010312.27577111
"122",1008806.46417189,1010263.6951789,1008806.46417189
"123",1004536.27265606,1006020.89479354,1004536.27265606
"124",996520.205018973,998022.491076682,996520.205018973
"125",996505.905818644,998008.070366865,996505.905818644
"126",997817.811178762,999327.811444858,997817.811178762
"127",996180.622108983,997683.065908533,996180.622108983
"128",996083.227456758,997585.029314226,996083.227456758
"129",993577.381883236,995063.106646494,993577.381883236
"130",993939.274441233,995428.196713703,993939.274441233
"131",992757.242946527,994235.943398936,992757.242946527
"132",986616.56690893,988035.022863155,986616.56690893
"133",992588.149516982,994103.229236442,992588.149516982
"134",989390.555481104,990873.591799888,989390.555481104
"135",985793.404560918,987228.145406578,985793.404560918
"136",986559.699141836,988007.496444764,986559.699141836
"137",984585.70231548,986001.008610138,984585.70231548
"138",985305.528803478,986733.946572181,985305.528803478
"139",980821.881066386,982171.25965079,980821.881066386
"140",977714.409075511,978994.016001604,977714.409075511
"141",968859.544540661,969910.505485566,968859.544540661
"142",972727.640064299,973915.267305026,972727.640064299
"143",969931.354166638,971031.505541326,969931.354166638
"144",973284.068376808,974499.296771119,973284.068376808
"145",979332.088274508,980732.158299912,979332.088274508
"146",980374.316513991,981799.431478663,980374.316513991
"147",986531.623188609,988098.18795283,986531.623188609
"148",976459.232361332,977858.477183851,976459.232361332
"149",975046.964384915,976407.311477579,975046.964384915
"150",976406.634415766,977805.927306905,976406.634415766
"151",978418.889064182,979873.116145386,978418.889064182
"152",975407.453283824,976785.607262729,975407.453283824
"153",982626.142094499,984210.540255929,982626.142094499
"154",978495.477618652,979993.807958984,978495.477618652
