"","v_bh","v_con","v_new"
"128",758425.052764912,733901.396432217,758425.052764912
"129",834436.561650488,837619.535307415,834436.561650488
"130",847231.946407124,856321.420428736,847231.946407124
"131",1286790.03775709,1299472.75565935,1285329.51653862
"132",1864041.37719205,1713004.64887227,1737887.3065751
"133",1351569.86558888,1351466.3241021,1339507.94717271
"134",2060651.91395148,1833931.69881931,1902722.28099143
"135",803189.184202372,798467.62695645,803189.184202372
"136",1170852.96791567,1198836.87809673,1170852.96791567
"137",1088181.83504923,1121302.44166927,1119346.46356125
"138",828830.527715723,831512.974762408,828830.527715723
"139",1410310.63511356,1397301.15541727,1388767.43780795
"140",1034711.69630886,1068201.36138926,1034711.69630886
"141",1331172.43039575,1332949.7579295,1321913.29202819
"142",1175100.71156281,1201047.06151149,1175100.71156281
"143",1176636.38016419,1202685.65304705,1193336.83944528
"144",879213.629034151,896014.982715972,879213.629034151
"145",1102300.79949925,1134443.90334889,1131122.89190207
"146",978635.080082948,1007867.96563228,978635.080082948
"147",626409.092821718,502090.447845793,626409.092821718
"148",830553.473423921,834202.54662503,830553.473423921
"149",805941.084530237,802791.057775544,805941.084530237
"150",899530.214673401,918737.89072426,899530.214673401
"151",1082405.7443645,1114862.9911074,1082405.7443645
"152",1179638.65297505,1205954.58065283,1195848.49902664
"153",830523.477191551,833975.25002358,830523.477191551
"154",1376004.69368901,1373004.8507254,1360017.79684477
"155",1509973.07727619,1474297.65446649,1471839.95502049
"156",719376.516131881,673948.572756154,719376.516131881
"157",914972.912562484,937742.240224221,914972.912562484
"158",1027846.61557601,1060078.76425661,1027846.61557601
"159",886184.086355082,903644.556698664,886184.086355082
"160",845029.733864129,853181.166955678,845029.733864129
"161",719391.472543222,674200.701653368,719391.472543222
"162",1155319.18427707,1183572.76083355,1177116.02641799
"163",1034250.74329801,1066912.20329191,1034250.74329801
"164",805785.312316437,800552.616861762,805785.312316437
"165",990835.533814498,1022232.35737643,990835.533814498
"166",750697.53651376,722529.624073659,750697.53651376
"167",775797.505707726,760860.366634901,775797.505707726
"168",1050175.61006018,1081541.58700501,1088455.41997062
"169",1290378.42229546,1302571.93316064,1288217.52322909
"170",915244.249076601,938706.3107847,915244.249076601
"171",2088899.9811974,1849782.78587638,1894171.93751166
"172",756440.09211508,731664.069044661,756440.09211508
"173",1157402.74336548,1186280.86729992,1157402.74336548
