"","V_bh","V_daily"
"389",1007462.49730449,1008708.35619048
"390",1009215.11546142,1010502.8415873
"391",1010022.6656916,1011327.45047619
"392",1011716.2171031,1013057.29111111
"393",1013173.50153292,1014543.4752381
"394",1013213.18407261,1014582.51492064
"395",1015379.26944749,1016789.11460318
"396",1014473.88406042,1015866.79365079
"397",1015635.83476312,1017048.72301587
"398",1016561.51848414,1017989.04206349
"399",1017428.13545974,1018868.62079365
"400",1016699.95030893,1018128.06333333
"401",1019870.17035599,1021348.81206349
"402",1019909.85289568,1021388.08984127
"403",1021426.20407092,1022923.61761905
"404",1022233.75430109,1023739.96095238
"405",1023631.97198549,1025152.87809524
"406",1023612.58777975,1025132.64079365
"407",1024361.0712645,1025887.84555556
"408",1027944.75852952,1029503.87412699
"409",1030760.57810405,1032335.71555556
"410",1032749.46324267,1034330.64015873
"411",1035092.74885382,1036676.84619048
"412",1034659.89743013,1036244.59952381
"413",1036294.38209621,1037878.49698413
"414",1036334.0646359,1037918.37
"415",1039976.81864634,1041554.19301587
"416",1038717.03278673,1040301.70095238
"417",1039642.71650775,1041224.11126984
"418",1040509.33348334,1042087.02333333
"419",1045392.48914766,1046943.72714286
"420",1045550.30517818,1047100.87349206
"421",1046830.38937174,1048368.94984127
"422",1048819.27451036,1050336.40380953
"423",1046850.68770568,1048394.52920635
"424",1046122.50255487,1047675.4452381
"425",1044449.24947731,1046020.60952381
"426",1042008.12870925,1043601.66031746
"427",1045946.21644681,1047515.25587302
"428",1042441.89426115,1044046.65428572
"429",1039528.23952972,1041152.71777778
"430",1034960.71592646,1036603.15015873
"431",1033051.1958672,1034692.29
"432",1042187.15720192,1043851.8684127
"433",1040809.23785147,1042482.87603175
"434",1044924.52582529,1046579.37809524
"435",1043723.80671111,1045389.55095238
"436",1045240.15788635,1046895.64619048
"437",1040259.16706513,1041958.19698413
"438",1039058.44795095,1040762.51730159
"439",1039452.53096316,1041155.88206349
"440",1036893.27670426,1038604.20269841
"441",1038764.02835204,1040474.57015873
"442",1040398.51301812,1042106.10904762
"443",1040910.72952118,1042616.93349206
"444",1042427.08069642,1044127.65174603
"445",1045538.23399807,1047222.66761905
"446",1042860.84624832,1044568.12253968
"447",1043550.26298765,1045254.29428572
"448",1043944.34599987,1045646.54984127
"449",1046523.89859271,1048210.28333333
"450",1041483.84102607,1043215.14206349
"451",1043708.99314638,1045431.82031746
"452",1042685.47426846,1044415.08793651
"453",1041425.68840885,1043161.93587302
"454",1039043.63438622,1040789.03825397
"455",1037842.91527204,1039590.10539683
"456",1041131.26880995,1042878.21492064
"457",1041938.81904012,1043683.59142857
"458",1042687.30252487,1044429.63174603
"459",1040600.58222935,1042352.81587302
"460",1037214.39353454,1038975.36063492
"461",1037313.14281964,1039074.25047619
"462",1033040.95294349,1034798.26031746
"463",1035147.97157296,1036915.81349206
"464",1034006.31920419,1035770.49603175
"465",1034105.0684893,1035869.45095238
"466",1035621.41966454,1037392.09380952
"467",1036606.17013098,1038379.62428572
"468",1036409.58568897,1038182.59444445
"469",1036449.26822865,1038222.31666667
"470",1036488.95076834,1038262.03095238
"471",1037119.30076224,1038893.8452381
"472",1039580.71986424,1041359.96333333
"473",1038261.86725921,1040041.86873016
"474",1037061.14814502,1038840.12650794
"475",1037514.29790266,1039294.17873016
"476",1035900.11157052,1037677.1568254
"477",1034699.39245633,1036472.16142857
"478",1033085.20612419,1034850.2684127
"479",1032534.22120965,1034295.43190476
"480",1030211.23393244,1031955.7715873
"481",1027533.84618269,1029252.69603175
"482",1019894.85181747,1021520.63730159
"483",1020111.73459342,1021740.39698413
"484",1015307.94400848,1016840.58460318
"485",1011508.28809571,1012944.99174603
"486",1016096.11003291,1017662.98015873
"487",1015190.72464583,1016734.02111111
"488",1015230.40718552,1016772.86238095
"489",1014797.55576182,1016327.3036508
"490",1015546.03924657,1017093.08111111
"491",1018893.4595299,1020522.17031746
"492",1011254.46516468,1012715.64650794
"493",1002670.40287271,1003874.60111111
"494",998516.346487404,999556.374444446
"495",998674.162517931,999717.821111112
"496",994579.172878051,995441.887777779
"497",990011.649274792,990651.687777779
"498",988043.062470115,988574.365238096
"499",992512.750916472,993287.595396826
"500",994383.502564247,995249.058095239
"501",992592.115995837,993367.212222223
"502",994344.734152767,995204.856984128
"503",996510.819527654,997473.033174604
"504",994778.499704666,995656.78873016
"505",996767.384843285,997738.462857144
"506",999169.737199861,1000248.92634921
"507",995192.881050825,996094.205079366
"508",993755.89495495,994584.197142859
"509",994268.111458011,995118.293650795
"510",993539.926307203,994350.376031747
"511",990567.204830347,991224.256666668
"512",992851.423696078,993627.170317462
"513",991000.970382246,991677.859206351
"514",979581.704309997,979644.98873016
"515",985646.194882757,986108.337936509
"516",986335.611622085,986834.525238097
"517",984367.024817409,984745.104285716
"518",981276.169849708,981460.066031747
