"","V_bh","V_daily"
"225",938557.488944434,938287.142222221
"226",937010.938067466,936591.8815873
"227",940847.967271251,940782.209523808
"228",945117.605588669,945425.676190475
"229",944820.814373304,945097.825396824
"230",940582.473455959,940495.978730157
"231",939324.328654746,939118.369523808
"232",936624.153474759,936164.174761903
"233",935846.68546647,935305.77095238
"234",937568.736781388,937186.357460316
"235",937031.607169562,936591.785396824
"236",943272.020337969,943416.249523808
"237",942158.078574633,942198.995555554
"238",941669.016642099,941660.173968252
"239",939449.518255036,939235.928571427
"240",939441.133115426,939219.999999998
"241",939432.747975817,939204.07142857
"242",948124.612788139,948692.434920633
"243",951384.829840415,952212.70142857
"244",949357.602170523,950022.364920633
"245",944590.516780961,944866.34111111
"246",944293.725565596,944537.648888887
"247",946929.062787071,947395.370793649
"248",951727.445576705,952588.155873014
"249",950805.774530539,951589.027301586
"250",954114.059262108,955152.53111111
"251",960787.081544148,962321.529841269
"252",962797.53893482,964462.266349205
"253",958751.468734645,960148.632222221
"254",964847.678865175,966664.90142857
"255",974693.167980517,977122.816666665
"256",978289.85878784,980900.776666665
"257",983761.189087569,986628.469523808
"258",979282.509773761,981960.254603173
"259",978745.380161935,981394.717142856
"260",982197.867931381,985007.015873015
"261",986996.250721015,990011.149523808
"262",981796.556217821,984609.443650792
"263",982749.52466406,985601.323492062
"264",985625.200281997,988598.483015872
"265",984799.664594416,987736.903650792
"266",978157.939712449,980818.334603173
"267",980312.600140999,983074.485714284
"268",981457.839304407,984269.584126983
"269",982603.078467816,985463.342222221
"270",984661.603537781,987609.187936507
"271",973309.246085155,975778.593015872
"272",965129.355465829,967146.797777776
"273",971994.648465039,974449.08126984
"274",976889.166613258,979615.702539681
"275",981303.007968553,984251.062222221
"276",979804.524770877,982680.324444443
"277",985468.125787776,988611.773174602
"278",981422.055587601,984394.204126983
"279",978577.677369737,981415.018412697
"280",986788.865389135,990029.613650792
"281",984761.637719242,987917.182222221
"282",989560.020508877,992918.393492062
"283",993445.117391955,996947.325238094
"284",996705.334444231,1000314.57571428
"285",994005.159264244,997530.753174602
"286",990872.374970625,994291.899523808
"287",994084.524343609,997619.258888887
"288",993307.05633532,996813.575238094
"289",992625.723685616,996106.591904761
"290",987281.826144545,990573.226825395
"291",989196.148176633,992562.817460316
"292",988803.221602683,992151.849523808
"293",988266.091990856,991590.805714285
"294",982201.179260399,985280.528095237
"295",986278.546860646,989545.614444443
"296",982905.424170566,986026.169523808
"297",982656.700634493,985762.651746031
"298",978899.036510073,981826.376031745
"299",977016.011878058,979843.6315873
"300",975517.528680382,978261.767777777
"301",981373.40041445,984435.590476189
"302",986075.6478455,989362.54126984
"303",988470.646670512,991858.232539681
"304",986972.163472836,990295.70111111
"305",987107.981371104,990434.286190475
"306",984696.212266872,987917.049206348
"307",988629.376829242,992024.759047618
"308",985544.660214916,988810.587619046
"309",980873.710183939,983929.289206348
"310",975914.354077207,978719.552380951
"311",970474.321177551,972974.237142856
"312",972869.320002564,975512.871746031
"313",970073.009463992,972546.9515873
"314",975400.136725843,978202.302380951
"315",973853.585848875,976564.435396824
"316",968605.823666389,971006.536984126
"317",966386.325279327,968639.134285713
"318",968204.51195283,970574.356349205
"319",968484.532888974,970867.919841269
"320",969485.569014506,971929.09126984
"321",971015.349612254,973551.732380951
"322",978361.319404388,981348.999047618
"323",971094.714691619,973688.167301586
"324",977142.857142857,980108.333968253
"325",973240.989980559,975986.386666665
"326",974338.161464676,977145.040634919
"327",977213.837082612,980185.344285713
"328",987155.461556538,990675.689047618
"329",986474.128906834,989960.848571428
"330",981178.299045055,984421.376349205
"331",984774.989852379,988199.399841269
"332",982507.423786024,985820.806190475
"333",986392.520669102,989897.317301586
"334",983548.142451238,986919.387142856
"335",976618.011493516,979645.187936507
"336",973581.362558482,976431.213015872
"337",977129.985686513,980190.49111111
"338",976160.246961055,979161.782063491
"339",974277.222329039,977165.615396824
"340",971192.505714713,973890.969365078
"341",973395.233822556,976229.446349205
"342",974780.811382426,977695.72063492
