"","V_bh","V_daily"
"65",966530.338403085,967732.428571428
"66",954725.340749133,955419.626984127
"67",959193.903709044,960135.741269841
"68",961757.018116066,962824.538095238
"69",956209.101520926,957003.538095238
"70",955682.299355695,956444
"71",954563.263180783,955259.988095238
"72",967503.34740962,968924.878571428
"73",962743.359540403,963967.588730158
"74",949429.452627001,950029.35047619
"75",956344.199539946,957369.276666666
"76",950126.801020817,950809.588571428
"77",951891.686980007,952679.538571428
"78",957518.968654513,958641.209999999
"79",957738.896327577,958869.061587301
"80",963752.417573614,965205.671111111
"81",965929.292409105,967480.576666666
"82",967925.922111214,969563.119523809
"83",958438.361886451,959666.841746031
"84",961464.963779311,962848.267142857
"85",959856.690813792,961155.019523809
"86",975809.443700576,977940.70047619
"87",981256.4802417,983575.740158729
"88",980060.196152482,982342.502063491
"89",987438.430551264,989933.708412698
"90",990310.536615511,992865.708412698
"91",984695.671827972,987140.327460317
"92",984287.316464678,986719.856349206
"93",980474.903010952,982809.281428571
"94",977311.372037399,979551.395714285
"95",981985.929435461,984377.975079364
"96",991578.604044357,994248.244920634
"97",1000398.79951019,1003221.59571429
"98",1004764.36525103,1007629.09571429
"99",1007327.47965805,1010206.97031746
"100",998329.156223893,1001190.94015873
"101",997081.373525137,999927.852857142
"102",995859.34013115,998688.309999999
"103",1001332.12597704,1004234.71952381
"104",991484.075485517,994290.243333333
"105",978391.612593127,980941.87031746
"106",982139.195019512,984810.873492063
"107",983105.852530871,985803.619523809
"108",983531.774642085,986239.905238095
"109",977546.119865875,980089.406825396
"110",970993.980384752,973305.562380951
"111",975153.551687438,977639.848095237
"112",973571.028026688,975996.20047619
"113",965293.685126057,967394.331428571
"114",954827.651320081,956416.37111111
"115",957648.258774791,959402.382222221
"116",954222.084892597,955772.254444444
"117",945779.946441446,946800.743809523
"118",928938.384774722,928743.406031745
"119",923369.868735766,922648.843968253
"120",930552.408418306,930549.403809523
"121",919906.129478948,918924.475238095
"122",910495.817168492,908501.086349206
"123",916905.877707969,915661.904761904
"124",924222.313775306,923780.248888888
"125",923927.255352994,923447.992539682
"126",935981.563497785,936712.380317459
"127",928888.688616518,929007.031904761
"128",928372.186173195,928434.403968253
"129",929946.527277097,930151.592222221
"130",931000.732424669,931297.233968253
"131",934712.265824378,935347.995396825
"132",933268.78840938,933771.925555555
"133",926371.608244355,926251.922222222
"134",920061.512228059,919309.507301587
"135",918015.501081471,917037.102539682
"136",915557.501058582,914298.902539682
"137",919227.835570662,918374.441428571
"138",918649.534795894,917725.289047618
"139",905788.815646422,903457.754920634
"140",893056.843020794,889084.407301587
"141",890212.603426374,885815.296190476
"142",899856.776644808,896909.508095238
"143",910788.415101681,909317.448571428
"144",907264.393861366,905360.283174603
"145",950624.706744029,954185.399047618
"146",944973.792929813,948123.227619047
"147",955699.436948536,959676.668095238
"148",967815.543424772,972588.360952381
"149",965357.543401884,969997.803809523
"150",960685.103168881,965067.393492063
"151",958062.307595473,962282.414761904
"152",958575.777342901,962824.304920634
"153",974065.042743846,979272.050952381
"154",954638.250878337,958974.03984127
"155",954636.73453039,958967.627142857
"156",936950.59566725,940074.214444444
"157",936542.240303956,939622.985714285
"158",949029.136768863,953243.351111111
"159",963153.689017063,968432.608253968
"160",973760.886233849,979653.952698412
"161",976699.940490496,982726.903650793
"162",944218.25110722,948790.703650794
"163",935487.720442659,939325.13031746
"164",937474.050422861,941490.063968254
"165",942885.037937309,947388.596984127
"166",920945.113926368,923567.58015873
"167",910041.341939323,911427.496825397
"168",917074.535654204,919353.167301587
"169",904095.369702796,904827.887301587
"170",882943.37441778,880749.415873016
"171",878281.233906685,875287.64
"172",885185.681097721,883399.881904762
"173",883216.91786544,881090.561269841
"174",891573.625845436,890847.345396826
"175",895733.197148121,895650.210476191
"176",887430.104942722,886078.658095238
"177",879796.494661311,877188.232698413
"178",879681.681372381,877041.058095239
"179",900176.611620375,901145.695555556
"180",888464.31146359,887717.14952381
"181",884564.350373651,883169.52968254
"182",886586.729380529,885521.777301588
"183",891544.529131047,891295.962222223
"184",884091.163983017,882644.46936508
"185",874140.116272416,870980.785238096
"186",886668.211624953,885831.590793651
"187",889591.816298738,889231.825714286
"188",887545.80515215,886840.645555556
"189",887662.735606139,886965.320158731
"190",885858.767924377,884851.994761905
"191",892067.983886657,892098.542063493
"192",919839.667662306,924281.857142858
"193",930781.605841087,936533.074126985
"194",930517.446584498,936233.967301588
"195",926370.292168778,931636.454603175
"196",928109.4288232,933563.75936508
"197",929101.835639327,934656.585555556
"198",903855.700896076,906657.001428572
"199",910806.496835697,914596.802063493
"200",906509.996452318,909715.244285715
"201",902970.525629141,905671.126031747
"202",897577.104862613,899481.99904762
"203",905985.311452146,909169.626031747
"204",908203.385175267,911692.366031747
"205",925582.64954624,931458.581269842
"206",931158.432611208,937665.446349207
"207",931738.850551035,938300.54952381
"208",940044.059921493,947485.676507937
"209",950203.219235303,958624.910634922
"210",955289.765509665,964130.723333334
"211",947681.904533022,955926.600317461
"212",940099.792861148,947675.901904763
"213",945186.33913551,953249.878095239
"214",941183.380826495,948875.376507938
"215",945239.954910106,953311.600317461
"216",942189.720877536,949976.790793652
"217",956288.523820968,965411.046349207
"218",961982.753687873,971542.605079366
"219",958649.277302846,967971.451904763
"220",962973.644156052,972610.165873017
"221",962704.335038509,972317.494444445
"222",959628.351701171,969021.857142858
"223",951469.455602476,960255.882857144
"224",953785.376683718,962759.67936508
"225",943051.550108147,951144.771111112
"226",950517.332143143,959314.730476191
"227",948909.059177624,957563.327301588
"228",931851.203350843,939008.652698414
"229",932405.871985901,939616.247936509
"230",927141.197743217,933771.566984128
"231",930322.295464689,937315.455873017
"232",943416.875522139,951877.529682541
"233",939722.908870349,947825.616984128
"234",950798.743433927,959991.925555557
"235",949226.519495085,958279.652380953
"236",950697.863379911,959873.777777779
"237",972778.950801662,983879.166666668
"238",974667.433423742,985877.624126985
"239",972533.87464094,983616.120952382
"240",966558.519586638,977277.142539683
"241",977505.607626372,988964.198095239
"242",987433.023197263,999447.506031747
"243",975705.273457617,987193.11873016
"244",973350.270653803,984697.297301588
"245",976222.376718051,987738.622698414
"246",980742.438287499,992518.567142858
"247",979211.413236287,990904.094126985
"248",970496.332154587,981711.657619048
"249",981299.224087616,993203.056031747
"250",993415.330563853,1005951.59888889
"251",997523.403257001,1010217.23380952
"252",994962.406015038,1007564.88539683
"253",995027.837859489,1007630.78380952
"254",1009744.62411737,1022888.97428572
"255",1017148.60782092,1030464.86
"256",1012115.67732116,1025353.38936508
"257",1021528.10679667,1034948.26238095
"258",1020924.05671714,1034337.2584127
"259",1005926.14527186,1019164.27269841
"260",1001346.40253602,1014458.76968254
"261",997441.291585127,1010430.74619048
"262",995678.522790996,1008601.02396826
"263",987313.632254151,999909.030317462
"264",982239.502866756,994595.625396827
"265",977350.768473696,989447.336190477
