"","V_bh","V_daily"
"507",860702.449534111,868368.311111111
"508",861568.378628378,869453.91015873
"509",861964.03300383,869939.418888889
"510",868577.764216946,878326.543492063
"511",869489.414464431,879457.405555555
"512",877295.161457876,889264.517301587
"513",877311.98342095,889270.002063492
"514",879147.854122773,891536.906825396
"515",875506.983828397,887006.540952381
"516",877584.523482944,889580.03047619
"517",882790.696336274,896036.855238095
"518",883163.490135117,896482.066031746
"519",883033.351248561,896306.672698412
"520",878206.996767172,890336.131428571
"521",877097.118883085,888940.939999999
"522",881989.775257205,895022.833015872
"523",881836.77579404,894818.576190476
"524",883502.825069624,896864.583492063
"525",877291.772805058,889185.33015873
"526",878683.495161334,890904.183174603
"527",883043.826680128,896309.499682539
"528",883207.609492831,896497.154603174
"529",880203.569546851,892766.017460317
"530",882222.324861546,895254.309523809
"531",881370.444913475,894185.476825396
"532",877716.511432466,889638.974444444
"533",879065.778432181,891304.909523809
"534",881195.570833263,893937.238095238
"535",882561.166816271,895615.561904761
"536",885115.51278295,898760.449206349
"537",883136.932987719,896304.115555555
"538",883584.840109706,896843.226666666
"539",879346.329026836,891584.953650793
"540",881472.85563126,894213.222222222
"541",885294.330701412,898937.146031745
"542",886630.534514494,900571.254444444
"543",887509.526795395,901638.656349206
"544",889472.763566897,904040.729999999
"545",889936.999672176,904596.418888888
"546",889460.686339826,903997.243650793
"547",889572.216405994,904119.844603174
"548",885915.017128326,899614.905555555
"549",891797.209889952,906858.781904761
"550",892989.718650063,908305.258095237
"551",893231.880582568,908587.169841269
"552",894757.50060184,910437.159523809
"553",895871.630242148,911781.19063492
"554",896564.472113518,912611.849365079
"555",893090.157448722,908374.811904761
"556",896219.283627286,912183.875714285
"557",897166.857638014,913324.982380952
"558",893147.15493126,908424.978730158
"559",897824.268725923,914125.294603174
"560",893882.945138971,909320.594761904
"561",886881.570083063,900752.702380952
"562",878848.20328309,890824.756666666
"563",880527.315745308,892901.73
"564",879061.466025451,891059.372698413
"565",880841.81818408,893262.523968254
"566",876645.76245777,888030.624603174
"567",873204.105759559,883704.406825397
"568",878246.988779967,890034.482380952
"569",882901.241998021,895833.316031746
"570",880968.383356007,893421.123968254
"571",869848.838713811,879547.846666666
"572",870894.386624292,880853.275555555
"573",867847.891321752,876983.862063492
"574",872387.84165676,882722.067777778
"575",871646.998795077,881770.887777778
"576",875063.515079583,886064.428095238
"577",874136.521808368,884884.447142857
"578",880498.786678784,892874.978571428
"579",882053.798867982,894797.331587302
"580",884457.918188372,897770.716031746
"581",885287.923519397,898784.871587302
"582",884948.773646701,898349.158888889
"583",880609.022867419,892952.18031746
"584",884123.513051679,897316.525396825
"585",883412.062359921,896419.049206349
"586",883957.943381661,897082.341269841
"587",887661.84977211,901671.677142857
"588",888550.639442986,902756.25968254
"589",888747.080222273,902983.921904762
"590",890151.865765182,904702.692063492
"591",895328.646448586,911060.445714286
"592",895303.0130551,911014.977460318
"593",895979.525943178,911829.501269841
"594",897704.359558614,913922.896825397
"595",899256.105951152,915800.263809524
"596",899214.143574374,915735.462222222
"597",899423.647540295,915977.112698413
"598",902386.218089279,919573.911111111
"599",904630.313373406,922281.744444444
"600",904545.895640068,922166.580952381
"601",902648.960761298,919859.159523809
"602",904618.729126116,922234.352857143
"603",907388.617672252,925571.473492063
"604",905321.861367243,923065.221111111
"605",904711.650371897,922314.123492063
"606",905032.191424205,922688.744126984
"607",907237.097148431,925342.522698413
"608",907293.108671405,925397.254444444
"609",906078.725294248,923919.318253968
"610",908949.853536796,927378.936507936
"611",912039.790155458,931084.651746032
"612",912732.632026828,931903.88984127
"613",910489.522702263,929206.061746032
"614",911832.258108662,930805.30047619
"615",914461.717398485,933949.074761904
"616",915190.483033098,934807.308095238
"617",915497.960898772,935162.473174603
"618",919897.481977468,940404.346190476
"619",920270.275776311,940835.677619047
"620",913928.591645408,933289.736984127
"621",915728.538583988,935432.520634921
"622",918919.714899062,939231.393650794
"623",918557.704449757,938788.43952381
"624",919488.949477193,939885.901587302
"625",922340.482939789,943262.113333333
"626",920672.153827109,941273.762063492
"627",911456.568636782,930313.421428572
"628",913994.585620169,933347.388095238
"629",919070.126607161,939411.885873016
"630",912548.823660044,931632.375873016
"631",917673.351596912,937771.022222223
"632",908353.260913515,926629.058730159
"633",905878.280026201,923630.266666667
"634",893589.580180284,908716.163492064
"635",887989.231890847,901807.94888889
"636",903982.331106993,921626.262380953
"637",902735.289763252,920096.891904762
"638",907961.057396532,926451.885873016
"639",903353.511291259,920866.027936509
"640",896286.820302183,912262.085714286
"641",896737.993220828,912801.790158731
"642",891506.679953794,906364.118412699
"643",889668.529414875,904075.340634921
"644",875515.059676991,886508.167619048
"645",880812.674836757,893190.935873016
"646",876267.178867994,887468.250158731
"647",876430.961680697,887658.682222223
"648",874485.03985205,885181.142222223
"649",885990.934459504,899750.086984127
"650",881572.804560421,894228.48936508
"651",875505.447348826,886595.227460318
"652",884581.589242404,898084.059841271
"653",886074.551295091,899933.540793651
"654",873720.535516005,884483.885238096
"655",869054.20507088,878537.100317461
"656",872859.35115774,883389.775238096
"657",870838.316005949,880804.442698413
"658",881050.955136663,893827.206984128
"659",882645.156885761,895817.273333334
"660",882041.477483732,895043.351111112
"661",890441.599469013,905573.097142858
"662",890278.802615872,905355.52
"663",890785.494077711,905970.226984128
"664",891305.248726184,906599.727777778
"665",889937.37290608,904888.352380953
"666",884134.545223819,897659.115555556
"667",883106.312256193,896355.510952381
"668",877153.257927644,888865.788730159
"669",878195.540041466,890167.190793651
"670",877520.013112951,889296.260476191
"671",866674.795390064,875564.470476191
"672",863275.594048412,871174.854603175
"673",862224.500504177,869798.192063492
"674",860699.866444468,867804.783968254
"675",862529.205552974,870160.986507937
"676",873088.019129482,883818.586349207
"677",876386.966734284,888003.552063493
"678",878944.578497622,891228.928571429
"679",879242.25897332,891588.754126985
"680",884699.89816935,898473.987619048
"681",884684.062165839,898438.113015874
"682",885151.564067777,899009.030476191
"683",874871.329166799,886118.471746032
"684",876991.324177906,888801.740952382
"685",881025.076030856,893898.413333334
"686",876528.56701197,888209.376190477
"687",884432.287905169,898235.996825397
"688",887407.921640786,901955.690476191
"689",891480.863053638,907028.426984128
"690",891138.447384284,906587.533968255
"691",888660.200700311,903491.377142858
"692",887197.616777113,901648.561269842
