"","V_bh","V_daily"
"368",1049941.29092129,1053710.77226666
"369",1044256.65656279,1048117.78925079
"370",1044448.98755309,1048309.2412127
"371",1044641.31854339,1048500.68531111
"372",1046818.07939173,1050655.31360952
"373",1052963.69995614,1056724.52567301
"374",1054682.51545263,1058413.80249524
"375",1054264.25264045,1058005.66400952
"376",1052777.45067396,1056549.32785079
"377",1049000.92194818,1052841.8142
"378",1052398.87040147,1056192.72649206
"379",1057018.00645969,1060733.59696825
"380",1055073.25914134,1058832.54011111
"381",1051754.67576742,1055580.84542539
"382",1050649.49492747,1054495.50471904
"383",1048017.82958133,1051905.89033016
"384",1048820.75437411,1052699.80426666
"385",1049165.73381502,1053041.4944127
"386",1050808.2250862,1054662.73303174
"387",1047565.96593759,1051471.40460635
"388",1049055.80875814,1052944.40289682
"389",1047950.62791819,1051855.49014285
"390",1052035.49439926,1055891.12486984
"391",1050625.01665806,1054504.88069047
"392",1051122.6445496,1054996.68165555
"393",1049406.86990718,1053308.26799365
"394",1048225.36484191,1052143.98693968
"395",1042769.70315934,1046756.39106666
"396",1039985.38936258,1043992.57890793
"397",1039185.50542387,1043196.81463809
"398",1039606.80909009,1043617.22612222
"399",1037967.35867298,1041984.66277936
"400",1036556.88093179,1040577.75344444
"401",1034764.78206405,1038787.37811746
"402",1033735.9254494,1037757.6693619
"403",1034844.14714341,1038868.37252381
"404",1035876.04461212,1039901.64436825
"405",1032099.51588634,1036124.63055873
"406",1034123.62828406,1038156.71649206
"407",1036529.36180833,1040567.53845397
"408",1035805.80209492,1039844.43545397
"409",1038287.85984449,1042328.22130793
"410",1039472.40576381,1043511.17936349
"411",1037680.30689608,1041724.56813809
"412",1041078.25534936,1045119.58668412
"413",1039973.0745094,1044019.61641428
"414",1037494.05761389,1041548.60242539
"415",1034862.39226775,1038918.76579841
"416",1035970.61396176,1040029.40456031
"417",1032423.05791191,1036478.29990476
"418",1034752.46721087,1038818.32642857
"419",1033265.66524437,1037328.07525397
"420",1030481.35144762,1034532.8427873
"421",1028078.65877741,1032113.78420952
"422",1027355.099064,1031383.17719365
"423",1028844.94188455,1032887.36653174
"424",1026823.87034089,1030848.61942539
"425",1027550.47090836,1031582.41665397
"426",1025147.77823815,1029155.21829206
"427",1024653.19120066,1028653.78979206
"428",1025532.44021875,1029543.77608254
"429",1030075.25205167,1034141.51781904
"430",1032633.63402655,1036719.62965873
"431",1036107.90670514,1040212.5814365
"432",1032102.40530344,1036198.72553492
"433",1035653.00220735,1039770.79650317
"434",1033784.5791143,1037897.37289206
"435",1035656.0430614,1039777.42561587
"436",1030887.29940661,1034995.02196825
"437",1030545.36081975,1034650.18494444
"438",1031424.60983783,1035536.16764762
"439",1026274.24505649,1030348.22439682
"440",1026466.57604679,1030542.27673333
"441",1026811.55548771,1030890.83906984
"442",1031507.01577125,1035642.21027936
"443",1029714.91690351,1033836.39269206
"444",1027464.87268392,1031564.91267619
"445",1030710.17268659,1034847.39415873
"446",1027773.21043922,1031885.04348889
"447",1029110.40480915,1033237.02850793
"448",1031363.4898828,1035512.73254603
"449",1027968.58228357,1032089.9271492
"450",1027779.29214733,1031897.84883174
"451",1022247.30623944,1026299.86067777
"452",1026103.20004458,1030221.96813809
"453",1027211.42173859,1031344.56925555
"454",1026716.83470111,1030843.04625555
"455",1024161.49358028,1028253.21744603
"456",1025422.36372491,1029533.13759841
"457",1025156.74936336,1029262.78463333
"458",1031836.63950493,1036042.06123174
"459",1033021.18542425,1037236.30639841
"460",1037335.02458125,1041581.80794762
"461",1036611.46486784,1040855.92496349
"462",1036422.17473159,1040665.86153333
"463",1040354.39276204,1044615.08966666
"464",1039172.88769678,1043433.11545714
"465",1043486.72685377,1047755.04482857
"466",1043755.38206938,1048023.60806666
"467",1050893.21756281,1055144.94514127
"468",1050780.25165187,1055034.04295714
"469",1053262.30940145,1057495.2496365
"470",1054294.20687015,1058516.96021746
"471",1051051.94772154,1055314.63308095
"472",1049488.82152973,1053766.35446031
"473",1048383.64068978,1052670.15254762
"474",1049644.51083441,1053924.03371587
"475",1050600.0840778,1054873.54290317
"476",1051174.03619464,1055443.8112365
"477",1051519.01563556,1055786.84797936
"478",1050261.18634499,1054541.14435873
"479",1048545.41170256,1052839.28898254
"480",1050340.55142436,1054624.65541428
"481",1048777.42523255,1053074.16663809
"482",1052556.99481238,1056832.03286984
"483",1048856.79031191,1053167.68855873
"484",1045080.26158614,1049414.10459047
"485",1046112.15905484,1050444.21222857
"486",1045312.27511612,1049647.4011492
"487",1045733.57878235,1050068.25232381
"488",1049894.76948872,1054219.11343492
"489",1050010.77625372,1054335.21537619
"490",1053637.69738293,1057939.47641746
"491",1060546.56020043,1064781.89217936
"492",1061425.80921851,1065648.66874603
"493",1059404.73767485,1063663.13595873
